TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber,YearMonth,DateOnly,TransactionTime_parsed,Hour,Weekday
TXN00003,2024-04-04,144.15,Axis Bank,Axis Bank,7597.35,Hyderabad,Female,Transfer,Success,21:29:39,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,123456789015,987654321015,2024-04,2024-04-04,21:29:39,21,Thursday
TXN00009,2024-10-10,171.02,SBI Bank,HDFC Bank,5705.81,Delhi,Female,Transfer,Success,09:02:48,Mobile,UPI ID,IRCTC,Others,29,Scheduled,USD,123456789021,987654321021,2024-10,2024-10-10,09:02:48,9,Thursday
TXN00021,2024-10-22,82.31,SBI Bank,HDFC Bank,5917.7,Delhi,Female,Transfer,Success,12:29:39,Mobile,UPI ID,Amazon,Food,41,Scheduled,USD,123456789033,987654321033,2024-10,2024-10-22,12:29:39,12,Tuesday
TXN00041,2024-06-12,58.41,SBI Bank,HDFC Bank,1134.52,Delhi,Female,Transfer,Success,07:29:40,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,123456789053,987654321053,2024-06,2024-06-12,07:29:40,7,Wednesday
TXN00044,2024-09-15,40.37,HDFC Bank,ICICI Bank,6332.93,Mumbai,Male,Payment,Success,13:18:37,Laptop,QR Code,IRCTC,Others,24,Instant,INR,123456789056,987654321056,2024-09,2024-09-15,13:18:37,13,Sunday
TXN00049,2024-02-20,135.49,SBI Bank,HDFC Bank,3162.11,Delhi,Female,Transfer,Success,10:56:25,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,123456789061,987654321061,2024-02,2024-02-20,10:56:25,10,Tuesday
TXN00055,2024-08-26,61.73,Axis Bank,Axis Bank,7989.63,Hyderabad,Female,Transfer,Failed,03:59:33,Tablet,Phone Number,Flipkart,Shopping,35,Scheduled,GBP,123456789067,987654321067,2024-08,2024-08-26,03:59:33,3,Monday
TXN00061,2024-02-02,95.74,SBI Bank,HDFC Bank,4541.38,Delhi,Female,Transfer,Success,07:56:15,Tablet,Phone Number,Amazon,Food,41,Scheduled,USD,123456789073,987654321073,2024-02,2024-02-02,07:56:15,7,Friday
TXN00076,2024-05-17,4.5,HDFC Bank,ICICI Bank,4922.13,Mumbai,Male,Payment,Success,08:09:09,Tablet,Phone Number,Amazon,Food,56,Instant,INR,123456789088,987654321088,2024-05,2024-05-17,08:09:09,8,Friday
TXN00080,2024-09-21,108.65,HDFC Bank,ICICI Bank,2015.36,Mumbai,Male,Payment,Failed,05:39:44,Laptop,QR Code,Flipkart,Shopping,20,Instant,INR,123456789092,987654321092,2024-09,2024-09-21,05:39:44,5,Saturday
